OCC_CODE,OCC_TITLE,TOT_EMP,JOBS_1000,H_MEAN,A_MEAN,A_MEDIAN
25-1054,"Physics Teachers, Postsecondary",12460.00,,*,99480.00,93070.00
25-1060,"Social Sciences Teachers, Postsecondary",108100.00,,*,94340.00,79770.00
25-1061,"Anthropology and Archeology Teachers, Postsecondary",5010.00,,*,102110.00,97340.00
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",9040.00,,*,91680.00,78910.00
25-1063,"Economics Teachers, Postsecondary",11790.00,,*,124090.00,104940.00
25-1064,"Geography Teachers, Postsecondary",3440.00,,*,88150.00,81440.00
25-1065,"Political Science Teachers, Postsecondary",14060.00,,*,98980.00,81980.00
25-1066,"Psychology Teachers, Postsecondary",36060.00,,*,88390.00,77860.00
25-1067,"Sociology Teachers, Postsecondary",12550.00,,*,87850.00,77980.00
25-1069,"Social Sciences Teachers, Postsecondary, All Other",16140.00,,*,87320.00,77500.00
25-1070,"Health Teachers, Postsecondary",259890.00,,*,119880.00,98070.00
25-1071,"Health Specialties Teachers, Postsecondary",191830.00,,*,133310.00,102720.00
25-1072,"Nursing Instructors and Teachers, Postsecondary",68060.00,,*,82040.00,77440.00
25-1080,"Education and Library Science Teachers, Postsecondary",63100.00,,*,77260.00,64540.00
25-1081,"Education Teachers, Postsecondary",58780.00,,*,76990.00,63910.00
25-1082,"Library Science Teachers, Postsecondary",4330.00,,*,80850.00,77100.00
25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",40170.00,,*,97720.00,78330.00
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",13790.00,,*,81730.00,64600.00
25-1112,"Law Teachers, Postsecondary",14110.00,,*,130820.00,123470.00
25-1113,"Social Work Teachers, Postsecondary",12280.00,,*,77650.00,71010.00
25-1120,"Arts, Communications, History, and Humanities Teachers, Postsecondary",239610.00,,*,85110.00,76840.00
25-1121,"Art, Drama, and Music Teachers, Postsecondary",94720.00,,*,86240.00,75940.00
25-1122,"Communications Teachers, Postsecondary",27330.00,,*,84580.00,77560.00
25-1123,"English Language and Literature Teachers, Postsecondary",58480.00,,*,82680.00,75930.00
25-1124,"Foreign Language and Literature Teachers, Postsecondary",19640.00,,*,82990.00,77030.00
25-1125,"History Teachers, Postsecondary",18590.00,,*,86460.00,78130.00
25-1126,"Philosophy and Religion Teachers, Postsecondary",20850.00,,*,88260.00,77610.00
25-1190,Miscellaneous Postsecondary Teachers,321050.00,,*,82100.00,64640.00
25-1192,"Family and Consumer Sciences Teachers, Postsecondary",2730.00,,*,93230.00,79630.00
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",13860.00,,*,79080.00,72440.00
25-1194,"Career/Technical Education Teachers, Postsecondary",105440.00,,30.35,63130.00,59840.00
25-1199,"Postsecondary Teachers, All Other",199020.00,,*,92200.00,78160.00
25-2000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",4021070.00,,*,64870.00,61030.00
25-2010,Preschool and Kindergarten Teachers,512400.00,,20.70,43060.00,36710.00
25-2011,"Preschool Teachers, Except Special Education",391670.00,,17.53,36460.00,30210.00
25-2012,"Kindergarten Teachers, Except Special Education",120730.00,,*,64490.00,60900.00
25-2020,Elementary and Middle School Teachers,1933120.00,,*,67030.00,61390.00
25-2021,"Elementary School Teachers, Except Special Education",1329280.00,,*,67080.00,61400.00
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",592000.00,,*,66880.00,61320.00
25-2023,"Career/Technical Education Teachers, Middle School",11840.00,,*,69410.00,61820.00
25-2030,Secondary School Teachers,1104600.00,,*,69490.00,61820.00
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",1020240.00,,*,69530.00,61820.00
25-2032,"Career/Technical Education Teachers, Secondary School",84360.00,,*,68960.00,61820.00
25-2050,Special Education Teachers,470960.00,,*,68880.00,61820.00
25-2051,"Special Education Teachers, Preschool",21130.00,,*,71970.00,62420.00
25-2052,"Special Education Teachers, Kindergarten and Elementary School",187070.00,,*,67090.00,61640.00
25-2057,"Special Education Teachers, Middle School",79070.00,,*,68860.00,61820.00
25-2058,"Special Education Teachers, Secondary School",145690.00,,*,70100.00,62120.00
25-2059,"Special Education Teachers, All Other",38000.00,,*,71330.00,61720.00
25-3000,Other Teachers and Instructors,941530.00,,22.35,46490.00,37310.00
25-3010,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",38260.00,,29.16,60650.00,59720.00
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",38260.00,,29.16,60650.00,59720.00
25-3020,Self-Enrichment Teachers,216910.00,,23.67,49230.00,43580.00
25-3021,Self-Enrichment Teachers,216910.00,,23.67,49230.00,43580.00
25-3030,"Substitute Teachers, Short-Term",374620.00,,18.47,38410.00,30100.00
25-3031,"Substitute Teachers, Short-Term",374620.00,,18.47,38410.00,30100.00
25-3040,Tutors,147100.00,,20.09,41780.00,36470.00
25-3041,Tutors,147100.00,,20.09,41780.00,36470.00
25-3090,Miscellaneous Teachers and Instructors,164650.00,,*,62200.00,50540.00
25-3099,"Teachers and Instructors, All Other",164650.00,,*,62200.00,50540.00
25-4000,"Librarians, Curators, and Archivists",228900.00,,26.69,55520.00,49060.00
25-4010,"Archivists, Curators, and Museum Technicians",28110.00,,28.28,58830.00,50120.00
25-4011,Archivists,6120.00,,29.75,61880.00,60050.00
25-4012,Curators,11030.00,,30.71,63880.00,60110.00
25-4013,Museum Technicians and Conservators,10960.00,,25.02,52030.00,47630.00
25-4020,Librarians and Media Collections Specialists,127790.00,,30.86,64180.00,61190.00
25-4022,Librarians and Media Collections Specialists,127790.00,,30.86,64180.00,61190.00
25-4030,Library Technicians,73000.00,,18.79,39070.00,36970.00
25-4031,Library Technicians,73000.00,,18.79,39070.00,36970.00
25-9000,Other Educational Instruction and Library Occupations,1659870.00,,*,38620.00,30460.00
25-9020,Farm and Home Management Educators,10620.00,,27.90,58040.00,49990.00
25-9021,Farm and Home Management Educators,10620.00,,27.90,58040.00,49990.00
25-9030,Instructional Coordinators,184740.00,,33.92,70560.00,63740.00
25-9031,Instructional Coordinators,184740.00,,33.92,70560.00,63740.00
25-9040,Teaching Assistants,1308560.00,,*,32640.00,29550.00
25-9044,"Teaching Assistants, Postsecondary",121290.00,,*,41170.00,38040.00
25-9045,"Teaching Assistants, Except Postsecondary",1187270.00,,*,31760.00,29360.00
25-9090,Miscellaneous Educational Instruction and Library Workers,155950.00,,23.87,49650.00,46300.00
25-9099,"Educational Instruction and Library Workers, All Other",155950.00,,23.87,49650.00,46300.00
27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1815290.00,,31.78,66100.00,51190.00
27-1000,Art and Design Workers,609150.00,,28.32,58910.00,48220.00
27-1010,Artists and Related Workers,83070.00,,45.83,95330.00,80990.00
27-1011,Art Directors,42080.00,,55.50,115430.00,100890.00
27-1012,Craft Artists,3740.00,,19.58,40730.00,35930.00
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",9430.00,,33.18,69010.00,60820.00
27-1014,Special Effects Artists and Animators,20430.00,,41.45,86220.00,78790.00
27-1019,"Artists and Related Workers, All Other",7390.00,,32.33,67240.00,61580.00
27-1020,Designers,526080.00,,25.56,53160.00,46370.00
27-1021,Commercial and Industrial Designers,27940.00,,38.31,79680.00,77030.00
27-1022,Fashion Designers,19310.00,,40.22,83650.00,77450.00
27-1023,Floral Designers,36000.00,,15.43,32100.00,29880.00
27-1024,Graphic Designers,204040.00,,28.83,59970.00,50710.00
27-1025,Interior Designers,61970.00,,30.08,62570.00,60340.00
27-1026,Merchandise Displayers and Window Trimmers,159790.00,,17.08,35520.00,32060.00
27-1027,Set and Exhibit Designers,6850.00,,30.27,62960.00,54860.00
27-1029,"Designers, All Other",10190.00,,35.33,73480.00,62310.00
27-2000,"Entertainers and Performers, Sports and Related Workers",438600.00,,34.55,71870.00,49470.00
27-2010,"Actors, Producers, and Directors",168350.00,,45.85,95360.00,77080.00
27-2011,Actors,30100.00,,31.31,*,*
27-2012,Producers and Directors,138250.00,,49.01,101950.00,79000.00
27-2020,"Athletes, Coaches, Umpires, and Related Workers",215690.00,,*,54390.00,39290.00
27-2021,Athletes and Sports Competitors,12320.00,,*,116930.00,77300.00
27-2022,Coaches and Scouts,193740.00,,*,50550.00,38970.00
27-2023,"Umpires, Referees, and Other Sports Officials",9620.00,,*,51710.00,35860.00
27-2030,Dancers and Choreographers,7850.00,,24.17,50280.00,40500.00
27-2031,Dancers,3850.00,,24.49,*,*
27-2032,Choreographers,3990.00,,23.86,49630.00,42700.00
27-2040,"Musicians, Singers, and Related Workers",33640.00,,38.57,*,*
27-2041,Music Directors and Composers,9560.00,,31.29,65080.00,49130.00
27-2042,Musicians and Singers,24080.00,,41.46,*,*
27-2090,"Miscellaneous Entertainers and Performers, Sports and Related Workers",13070.00,,23.60,*,*
27-2091,"Disc Jockeys, Except Radio",4770.00,,21.82,*,*
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",8300.00,,24.62,*,*
27-3000,Media and Communication Workers,573200.00,,34.50,71760.00,62340.00
27-3010,Broadcast Announcers and Radio Disc Jockeys,24580.00,,26.97,56110.00,37630.00
27-3011,Broadcast Announcers and Radio Disc Jockeys,24580.00,,26.97,56110.00,37630.00
27-3020,"News Analysts, Reporters and Journalists",39080.00,,30.40,63230.00,48370.00
27-3023,"News Analysts, Reporters, and Journalists",39080.00,,30.40,63230.00,48370.00
27-3030,Public Relations Specialists,242710.00,,35.22,73250.00,62800.00
27-3031,Public Relations Specialists,242710.00,,35.22,73250.00,62800.00
27-3040,Writers and Editors,185810.00,,37.96,78950.00,71640.00
27-3041,Editors,88780.00,,36.73,76400.00,63350.00
27-3042,Technical Writers,47620.00,,39.17,81470.00,78060.00
27-3043,Writers and Authors,49410.00,,39.00,81120.00,69510.00
27-3090,Miscellaneous Media and Communication Workers,81010.00,,28.68,59650.00,49980.00
27-3091,Interpreters and Translators,52170.00,,28.08,58400.00,49110.00
27-3092,Court Reporters and Simultaneous Captioners,12300.00,,31.36,65240.00,60380.00
27-3099,"Media and Communication Workers, All Other",16540.00,,28.56,59400.00,49900.00
27-4000,Media and Communication Equipment Workers,194350.00,,28.35,58970.00,48920.00
27-4010,"Broadcast, Sound, and Lighting Technicians",90940.00,,26.80,55750.00,48790.00
27-4011,Audio and Video Technicians,50590.00,,26.59,55310.00,48820.00
27-4012,Broadcast Technicians,25270.00,,24.66,51280.00,44740.00
27-4014,Sound Engineering Technicians,10800.00,,32.38,67360.00,60500.00
27-4015,Lighting Technicians,4280.00,,27.89,58020.00,51470.00
27-4020,Photographers,38420.00,,23.18,48210.00,38950.00
27-4021,Photographers,38420.00,,23.18,48210.00,38950.00
27-4030,"Television, Video, and Film Camera Operators and Editors",48320.00,,33.66,70020.00,60360.00
27-4031,"Camera Operators, Television, Video, and Film",20280.00,,29.69,61740.00,49230.00
27-4032,Film and Video Editors,28030.00,,36.54,76000.00,62680.00
27-4090,Miscellaneous Media and Communication Equipment Workers,16670.00,,33.31,69290.00,63250.00
27-4099,"Media and Communication Equipment Workers, All Other",16670.00,,33.31,69290.00,63250.00
29-0000,Healthcare Practitioners and Technical Occupations,8787730.00,,43.80,91100.00,75040.00
29-1000,Healthcare Diagnosing or Treating Practitioners,5772460.00,,53.92,112160.00,81270.00
29-1010,Chiropractors,35810.00,,39.06,81240.00,75000.00
29-1011,Chiropractors,35810.00,,39.06,81240.00,75000.00
29-1020,Dentists,124680.00,,85.47,177770.00,163220.00
29-1021,"Dentists, General",108680.00,,80.37,167160.00,160370.00
29-1022,Oral and Maxillofacial Surgeons,5330.00,,149.74,311460.00,#
29-1023,Orthodontists,5140.00,,128.50,267280.00,#
29-1024,Prosthodontists,790.00,,69.10,143730.00,100950.00
29-1029,"Dentists, All Other Specialists",4750.00,,86.25,179400.00,175160.00
29-1030,Dietitians and Nutritionists,66690.00,,31.55,65620.00,61650.00
29-1031,Dietitians and Nutritionists,66690.00,,31.55,65620.00,61650.00
29-1040,Optometrists,38720.00,,60.31,125440.00,124300.00
29-1041,Optometrists,38720.00,,60.31,125440.00,124300.00
29-1050,Pharmacists,312550.00,,60.43,125690.00,128570.00
29-1051,Pharmacists,312550.00,,60.43,125690.00,128570.00
29-1070,Physician Assistants,132940.00,,57.43,119460.00,121530.00
29-1071,Physician Assistants,132940.00,,57.43,119460.00,121530.00
29-1080,Podiatrists,8840.00,,76.15,158380.00,145840.00
29-1081,Podiatrists,8840.00,,76.15,158380.00,145840.00
29-1120,Therapists,687440.00,,40.42,84080.00,78670.00
29-1122,Occupational Therapists,127830.00,,43.02,89470.00,85570.00
29-1123,Physical Therapists,225350.00,,44.67,92920.00,95620.00
29-1124,Radiation Therapists,16050.00,,45.19,94000.00,82790.00
29-1125,Recreational Therapists,16980.00,,25.91,53900.00,47940.00
29-1126,Respiratory Therapists,133410.00,,32.78,68190.00,61830.00
29-1127,Speech-Language Pathologists,147470.00,,41.26,85820.00,79060.00
29-1128,Exercise Physiologists,6860.00,,25.98,54030.00,47940.00
29-1129,"Therapists, All Other",13490.00,,31.26,65030.00,59500.00
29-1130,Veterinarians,77260.00,,52.84,109920.00,100370.00
29-1131,Veterinarians,77260.00,,52.84,109920.00,100370.00
29-1140,Registered Nurses,3047530.00,,39.78,82750.00,77600.00
29-1141,Registered Nurses,3047530.00,,39.78,82750.00,77600.00
29-1150,Nurse Anesthetists,43950.00,,97.34,202470.00,195610.00
29-1151,Nurse Anesthetists,43950.00,,97.34,202470.00,195610.00
29-1160,Nurse Midwives,7750.00,,54.91,114210.00,112830.00
29-1161,Nurse Midwives,7750.00,,54.91,114210.00,112830.00
29-1170,Nurse Practitioners,234690.00,,56.75,118040.00,120680.00
29-1171,Nurse Practitioners,234690.00,,56.75,118040.00,120680.00
29-1180,Audiologists,13240.00,,41.37,86050.00,78950.00
29-1181,Audiologists,13240.00,,41.37,86050.00,78950.00
29-1210,Physicians,641380.00,,121.38,252480.00,#
29-1211,Anesthesiologists,31130.00,,159.22,331190.00,#
29-1212,Cardiologists,18610.00,,170.18,353970.00,#
29-1213,Dermatologists,9230.00,,145.55,302740.00,#
29-1214,Emergency Medicine Physicians,36180.00,,149.35,310640.00,#
29-1215,Family Medicine Physicians,102930.00,,113.43,235930.00,#
29-1216,General Internal Medicine Physicians,58260.00,,116.44,242190.00,#
29-1217,Neurologists,7120.00,,128.68,267660.00,#
29-1218,Obstetricians and Gynecologists,21570.00,,142.41,296210.00,#
29-1221,"Pediatricians, General",33620.00,,95.40,198420.00,170480.00
29-1222,"Physicians, Pathologists",11010.00,,128.45,267180.00,#
29-1223,Psychiatrists,25520.00,,120.08,249760.00,#
29-1224,Radiologists,29530.00,,145.06,301720.00,#
29-1229,"Physicians, All Other",256670.00,,111.30,231500.00,#
29-1240,Surgeons,58280.00,,141.60,294520.00,#
29-1241,"Ophthalmologists, Except Pediatric",11610.00,,129.85,270090.00,#
29-1242,"Orthopedic Surgeons, Except Pediatric",16260.00,,147.22,306220.00,#
29-1243,Pediatric Surgeons,820.00,,139.57,290310.00,#
29-1249,"Surgeons, All Other",29590.00,,143.17,297800.00,#
29-1290,Miscellaneous Healthcare Diagnosing or Treating Practitioners,240690.00,,40.65,84550.00,77900.00
29-1291,Acupuncturists,7250.00,,34.51,71770.00,60570.00
29-1292,Dental Hygienists,207190.00,,39.12,81360.00,77810.00
29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",26250.00,,54.44,113230.00,100300.00
29-2000,Health Technologists and Technicians,2887210.00,,24.18,50300.00,46910.00
29-2010,Clinical Laboratory Technologists and Technicians,318780.00,,27.36,56910.00,57800.00
29-2010,Clinical Laboratory Technologists and Technicians,318780.00,,27.36,56910.00,57800.00
29-2030,Diagnostic Related Technologists and Technicians,408390.00,,34.03,70780.00,67100.00
29-2031,Cardiovascular Technologists and Technicians,55760.00,,29.82,62020.00,60570.00
29-2032,Diagnostic Medical Sonographers,78640.00,,38.79,80680.00,77740.00
29-2033,Nuclear Medicine Technologists,17140.00,,40.79,84850.00,78760.00
29-2034,Radiologic Technologists and Technicians,216380.00,,31.97,66490.00,61370.00
29-2035,Magnetic Resonance Imaging Technologists,38070.00,,37.41,77820.00,77360.00
29-2036,Medical Dosimetrists,2400.00,,59.98,124750.00,127270.00
29-2040,Emergency Medical Technicians and Paramedics,257910.00,,19.94,41480.00,36930.00
29-2042,Emergency Medical Technicians,161400.00,,17.64,36690.00,35470.00
29-2043,Paramedics,96510.00,,23.80,49500.00,46770.00
29-2050,Health Practitioner Support Technologists and Technicians,845080.00,,19.31,40170.00,36980.00
29-2051,Dietetic Technicians,21610.00,,16.42,34160.00,29520.00
29-2052,Pharmacy Technicians,436630.00,,18.25,37970.00,36740.00
29-2053,Psychiatric Technicians,93410.00,,18.27,38000.00,36570.00
29-2055,Surgical Technologists,109060.00,,25.77,53590.00,48530.00
29-2056,Veterinary Technologists and Technicians,118670.00,,18.39,38250.00,36850.00
29-2057,Ophthalmic Medical Technicians,65700.00,,19.77,41120.00,37180.00
29-2060,Licensed Practical and Licensed Vocational Nurses,641240.00,,24.93,51850.00,48070.00
29-2061,Licensed Practical and Licensed Vocational Nurses,641240.00,,24.93,51850.00,48070.00
29-2070,Medical Records Specialists,180570.00,,23.23,48310.00,46660.00
29-2072,Medical Records Specialists,180570.00,,23.23,48310.00,46660.00
29-2080,"Opticians, Dispensing",73270.00,,20.70,43060.00,37570.00
29-2081,"Opticians, Dispensing",73270.00,,20.70,43060.00,37570.00
29-2090,Miscellaneous Health Technologists and Technicians,161980.00,,24.96,51910.00,46640.00
29-2091,Orthotists and Prosthetists,10410.00,,38.38,79820.00,75440.00
29-2092,Hearing Aid Specialists,10790.00,,28.83,59960.00,59500.00
29-2099,"Health Technologists and Technicians, All Other",140770.00,,23.67,49230.00,45720.00
29-9000,Other Healthcare Practitioners and Technical Occupations,128060.00,,29.55,61470.00,54480.00
29-9020,Health Information Technologists and Medical Registrars,37900.00,,29.53,61410.00,55560.00
29-9021,Health Information Technologists and Medical Registrars,37900.00,,29.53,61410.00,55560.00
29-9090,Miscellaneous Health Practitioners and Technical Workers,90160.00,,29.56,61490.00,54010.00
29-9091,Athletic Trainers,26070.00,,*,54650.00,48420.00
29-9092,Genetic Counselors,2740.00,,41.65,86640.00,80150.00
29-9093,Surgical Assistants,17250.00,,28.45,59170.00,48320.00
29-9099,"Healthcare Practitioners and Technical Workers, All Other",44100.00,,31.19,64880.00,58750.00
31-0000,Healthcare Support Occupations,6603680.00,,16.02,33330.00,29880.00
31-1100,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",4765620.00,,14.64,30440.00,29620.00
31-1120,Home Health and Personal Care Aides,3366480.00,,14.07,29260.00,29430.00
31-1120,Home Health and Personal Care Aides,3366480.00,,14.07,29260.00,29430.00
31-1130,"Nursing Assistants, Orderlies, and Psychiatric Aides",1399130.00,,16.01,33290.00,30290.00
31-1131,Nursing Assistants,1314830.00,,15.99,33250.00,30310.00
31-1132,Orderlies,45160.00,,16.08,33440.00,29990.00
31-1133,Psychiatric Aides,39140.00,,16.65,34640.00,30260.00
31-2000,Occupational Therapy and Physical Therapist Assistants and Aides,181410.00,,25.91,53900.00,57980.00
31-2010,Occupational Therapy Assistants and Aides,45350.00,,29.69,61760.00,61520.00
31-2011,Occupational Therapy Assistants,41980.00,,30.56,63560.00,61730.00
31-2012,Occupational Therapy Aides,3370.00,,18.86,39230.00,33560.00
31-2020,Physical Therapist Assistants and Aides,136050.00,,24.65,51280.00,49180.00
31-2021,Physical Therapist Assistants,93660.00,,29.20,60740.00,61180.00
31-2022,Physical Therapist Aides,42390.00,,14.60,30370.00,29200.00
31-9000,Other Healthcare Support Occupations,1656660.00,,18.93,39360.00,37370.00
31-9010,Massage Therapists,81030.00,,23.68,49260.00,46910.00
31-9011,Massage Therapists,81030.00,,23.68,49260.00,46910.00
31-9090,Miscellaneous Healthcare Support Occupations,1575620.00,,18.68,38860.00,37310.00
31-9091,Dental Assistants,347170.00,,20.44,42510.00,38660.00
31-9092,Medical Assistants,727760.00,,18.36,38190.00,37190.00
31-9093,Medical Equipment Preparers,61170.00,,20.40,42420.00,38220.00
31-9094,Medical Transcriptionists,55830.00,,16.45,34220.00,30100.00
31-9095,Pharmacy Aides,43560.00,,16.61,34560.00,29930.00
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,98970.00,,15.28,31780.00,29780.00
31-9097,Phlebotomists,132750.00,,18.49,38450.00,37380.00
31-9099,"Healthcare Support Workers, All Other",108410.00,,19.56,40690.00,37740.00
33-0000,Protective Service Occupations,3385030.00,,25.68,53420.00,46590.00
33-1000,Supervisors of Protective Service Workers,342810.00,,38.95,81010.00,77290.00
33-1010,First-Line Supervisors of Law Enforcement Workers,182700.00,,43.32,90110.00,81430.00
33-1011,First-Line Supervisors of Correctional Officers,54470.00,,33.53,69750.00,62220.00
33-1012,First-Line Supervisors of Police and Detectives,128230.00,,47.48,98760.00,99330.00
33-1020,First-Line Supervisors of Firefighting and Prevention Workers,80890.00,,40.03,83270.00,78230.00
33-1021,First-Line Supervisors of Firefighting and Prevention Workers,80890.00,,40.03,83270.00,78230.00
33-1090,"Miscellaneous First-Line Supervisors, Protective Service Workers",79230.00,,27.75,57730.00,52480.00
33-1091,First-Line Supervisors of Security Workers,55450.00,,26.48,55080.00,50240.00
33-1099,"First-Line Supervisors of Protective Service Workers, All Other",23780.00,,30.73,63910.00,61010.00
33-2000,Firefighting and Prevention Workers,334670.00,,26.88,55910.00,50930.00
33-2010,Firefighters,317310.00,,26.58,55290.00,50700.00
33-2011,Firefighters,317310.00,,26.58,55290.00,50700.00
33-2020,Fire Inspectors,17370.00,,32.32,67230.00,63080.00
33-2021,Fire Inspectors and Investigators,14600.00,,33.50,69680.00,64600.00
33-2022,Forest Fire Inspectors and Prevention Specialists,2770.00,,26.12,54340.00,42600.00
33-3000,Law Enforcement Workers,1200060.00,,31.91,66370.00,61190.00
33-3010,"Bailiffs, Correctional Officers, and Jailers",409020.00,,25.66,53380.00,47920.00
33-3011,Bailiffs,16420.00,,25.16,52340.00,48320.00
33-3012,Correctional Officers and Jailers,392600.00,,25.69,53420.00,47920.00
33-3020,Detectives and Criminal Investigators,107890.00,,43.45,90370.00,83640.00
33-3021,Detectives and Criminal Investigators,107890.00,,43.45,90370.00,83640.00
33-3030,Fish and Game Wardens,6730.00,,27.98,58190.00,60730.00
33-3031,Fish and Game Wardens,6730.00,,27.98,58190.00,60730.00
33-3040,Parking Enforcement Workers,7450.00,,22.14,46050.00,46590.00
33-3041,Parking Enforcement Workers,7450.00,,22.14,46050.00,46590.00
33-3050,Police Officers,668970.00,,34.01,70740.00,64610.00
33-3051,Police and Sheriff's Patrol Officers,665380.00,,34.02,70750.00,64610.00
33-3052,Transit and Railroad Police,3590.00,,33.45,69570.00,64930.00
33-9000,Other Protective Service Workers,1507480.00,,17.44,36280.00,31550.00
33-9010,Animal Control Workers,11600.00,,20.49,42620.00,39160.00
33-9011,Animal Control Workers,11600.00,,20.49,42620.00,39160.00
33-9020,Private Detectives and Investigators,28860.00,,29.31,60970.00,59380.00
33-9021,Private Detectives and Investigators,28860.00,,29.31,60970.00,59380.00
33-9030,Security Guards and Gambling Surveillance Officers,1066280.00,,17.24,35860.00,31470.00
33-9031,Gambling Surveillance Officers and Gambling Investigators,9190.00,,18.31,38080.00,35450.00
33-9032,Security Guards,1057100.00,,17.23,35830.00,31470.00
33-9090,Miscellaneous Protective Service Workers,400740.00,,17.04,35450.00,31430.00
33-9091,Crossing Guards and Flaggers,82690.00,,17.15,35670.00,31450.00
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",114320.00,,13.14,27320.00,25630.00
33-9093,Transportation Security Screeners,48320.00,,22.30,46380.00,45470.00
33-9094,School Bus Monitors,55310.00,,14.53,30220.00,29100.00
33-9099,"Protective Service Workers, All Other",100110.00,,20.27,42160.00,38210.00
35-0000,Food Preparation and Serving Related Occupations,11201480.00,,14.16,29450.00,28400.00
35-1000,Supervisors of Food Preparation and Serving Workers,1170410.00,,19.77,41130.00,37130.00
35-1010,Supervisors of Food Preparation and Serving Workers,1170410.00,,19.77,41130.00,37130.00
35-1011,Chefs and Head Cooks,129810.00,,27.37,56920.00,50160.00
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,1040600.00,,18.82,39150.00,36570.00
35-2000,Cooks and Food Preparation Workers,3281610.00,,14.13,29380.00,29100.00
35-2010,Cooks,2498260.00,,14.21,29560.00,29120.00
35-2011,"Cooks, Fast Food",768130.00,,12.25,25490.00,24180.00
35-2012,"Cooks, Institution and Cafeteria",392860.00,,15.15,31520.00,29910.00
35-2013,"Cooks, Private Household",440.00,,20.80,43260.00,42920.00
35-2014,"Cooks, Restaurant",1193860.00,,15.21,31630.00,30010.00
35-2015,"Cooks, Short Order",124800.00,,13.51,28110.00,28560.00
35-2019,"Cooks, All Other",18170.00,,16.05,33390.00,30720.00
35-2020,Food Preparation Workers,783350.00,,13.85,28810.00,28780.00
35-2021,Food Preparation Workers,783350.00,,13.85,28810.00,28780.00
35-3000,Food and Beverage Serving Workers,5627500.00,,13.23,27520.00,26000.00
35-3010,Bartenders,485330.00,,14.59,30340.00,26350.00
35-3011,Bartenders,485330.00,,14.59,30340.00,26350.00
35-3020,Fast Food and Counter Workers,3095120.00,,12.53,26060.00,25100.00
35-3023,Fast Food and Counter Workers,3095120.00,,12.53,26060.00,25100.00
35-3030,Waiters and Waitresses,1804030.00,,13.95,29010.00,26000.00
35-3031,Waiters and Waitresses,1804030.00,,13.95,29010.00,26000.00
35-3040,"Food Servers, Nonrestaurant",243030.00,,14.19,29500.00,28730.00
35-3041,"Food Servers, Nonrestaurant",243030.00,,14.19,29500.00,28730.00
35-9000,Other Food Preparation and Serving Related Workers,1121960.00,,13.06,27170.00,27400.00
35-9010,Dining Room and Cafeteria Attendants and Bartender Helpers,336970.00,,13.31,27690.00,27170.00
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,336970.00,,13.31,27690.00,27170.00
35-9020,Dishwashers,377040.00,,13.15,27350.00,28130.00
35-9021,Dishwashers,377040.00,,13.15,27350.00,28130.00
35-9030,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",324690.00,,12.50,26000.00,24600.00
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",324690.00,,12.50,26000.00,24600.00
35-9090,Miscellaneous Food Preparation and Serving Related Workers,83240.00,,13.83,28760.00,29120.00
35-9099,"Food Preparation and Serving Related Workers, All Other",83240.00,,13.83,28760.00,29120.00
37-0000,Building and Grounds Cleaning and Maintenance Occupations,4108810.00,,16.23,33750.00,30240.00
37-1000,Supervisors of Building and Grounds Cleaning and Maintenance Workers,270020.00,,23.38,48620.00,46640.00
37-1010,First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,270020.00,,23.38,48620.00,46640.00
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,153640.00,,21.68,45100.00,39630.00
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",116380.00,,25.61,53270.00,48800.00
37-2000,Building Cleaning and Pest Control Workers,2862840.00,,15.19,31590.00,29640.00
37-2010,Building Cleaning Workers,2777470.00,,15.05,31310.00,29540.00
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2036680.00,,15.32,31860.00,29760.00
37-2012,Maids and Housekeeping Cleaners,723430.00,,14.22,29580.00,28780.00
37-2019,"Building Cleaning Workers, All Other",17350.00,,18.52,38530.00,34350.00
37-2020,Pest Control Workers,85370.00,,19.54,40640.00,37540.00
37-2021,Pest Control Workers,85370.00,,19.54,40640.00,37540.00
